,coef
ABCC1,-0.369962470308469
ABL1,-0.18873885460862697
ACD,0.35626261152088096
ACTB,0.007253285294457091
ACTL6A,0.08302226634016033
ACTR1A,0.09533892201735605
ACTR5,0.12371128492597462
ACTR8,-0.3029530061775228
AEN,0.024438625024784676
AHCYL1,-0.05856556823653247
ALKBH1,0.08612461146362835
ALKBH2,0.13999265046069714
ALKBH3,0.01866827524257805
AMN1,-0.10395124063858624
ANAPC2,0.16652841614681152
ANKRD17,-0.11466168820498158
ANKRD28,-0.2682915752094868
ANKRD44,-0.2790371084733119
ANKRD52,-0.04262124743826476
APEX1,-0.028880717776738542
APEX2,0.19418039547329527
APITD1,0.2788804474651495
APLF,0.07886141495524014
APTX,0.025782090334724585
AR,0.38141465719933
ARID1A,-0.12434218359625913
ARID1B,-0.09119056225743882
ARID2,0.2022081111976191
ARID3A,-0.3729890751967229
ARPC4,0.037729614103224535
ASCC1,-0.14598284644592327
ASCC3,-0.015357517920752592
ASF1A,0.14773779384540095
ASF1B,0.1880812043930782
ASH2L,0.2974543089554968
ASNA1,0.2063102904866639
ATAD5,-0.1474959276931786
ATF2,-0.2651917528888849
ATM,0.09758023045825133
ATR,0.281873594373631
ATRIP,0.33655515177576073
ATRX,0.036996297629974764
ATXN3,-0.007979751822727886
ATXN7L3,0.06652222393698222
BABAM1,-0.03662557374976518
BAP1,0.13507427336655392
BARD1,0.2118959601295907
BAZ1A,0.009693664565126867
BAZ1B,0.10182841211005486
BBC3,0.1421572149108948
BCAS2,-0.11263252415373574
BCL2,0.15582480835895907
BCL2L1,-0.07278270158674223
BCL2L11,-0.2110877513160359
BCL3,0.024570807241415936
BEND3,-0.2771344951901419
BLM,0.018990558159020288
BMPR2,0.11974778586115159
BRCA1,-0.3560381832350581
BRCA2,0.022833335397986168
BRCC3,0.19252730974609691
BRD1,0.30531499794866007
BRD4,-0.10828575447320023
BRD7,-0.06535002074234292
BRE,0.2207856390722118
BRIP1,-0.002292662873592647
BRMS1,0.2076104551725118
BTG2,0.1075932836589048
C17orf53,-0.43163688217747054
C17orf70,0.48704426798641903
C19orf40,-0.09620557610141323
C1orf86,-0.025433055199794448
C20orf196,-0.2503016786445613
C7orf49,-0.2921937974161425
C9orf142,0.1032990696043954
CABIN1,-0.013469723006736281
CALM3,-0.15219484188237686
CAPZA1,0.11890662202705005
CAPZB,0.30180943014219147
CBX1,0.027614299552160715
CCAR1,0.3779800927866094
CCNA1,-0.2492223697267229
CCNA2,-0.0495821417795645
CCNB1,-0.04562753353645887
CCNB2,-0.14296756448823006
CCNB3,0.17403205017315282
CCNC,0.1990644172101765
CCND1,0.07811364575944929
CCND2,-0.4199492946311147
CCND3,-0.14496285299701991
CCNE1,-0.029084578351499274
CCNF,0.025805190700624592
CCNH,0.023687042445958383
CCNO,0.09315223461043408
CDC25A,0.014493915959609473
CDC25B,-0.00351074409184908
CDC25C,-0.04795933768180323
CDC5L,0.005614094261866454
CDC6,0.045625627284254976
CDCA5,0.13442917632004966
CDK10,-0.13611197388900234
CDK12,-0.07768818570407651
CDK2,-0.30626980501088247
CDK4,0.013680577003168647
CDK7,-0.1316423421110256
CDKN1A,0.027830574264434006
CDKN2A,-0.0693960001918947
CDKN2D,0.008554430222877522
CDYL,0.2768401710471154
CELF1,-0.03847853689182737
CENPO,-0.06745507667719716
CETN2,0.2396375324134149
CHAF1A,-0.3988377064485197
CHEK1,0.317483696117007
CHEK2,0.030800215933692837
CHERP,0.05390600460727006
CHRAC1,-0.440388220268767
CHTF18,0.2475353429220224
CHTF8,0.0707143505967188
CIB1,-0.13630539419881643
CIRBP,0.025828718620002383
CLASP2,-0.18354005295508383
CLK2,0.04242513167790586
CLSPN,-0.25834546350473914
CNOT1,-0.1350563518600032
CNOT10,-0.18819943902197211
CNOT2,0.04823424026178724
CNOT3,0.17643249860011442
CNOT7,0.2845270794296776
COPS2,0.007331038169051174
COPS3,-0.39240281032573837
COPS4,0.09304001801280738
COPS5,0.21542234569488877
COPS6,0.04359737752314677
COPS7A,-0.21544565645490998
COPS7B,0.12223989296679157
COPS8,0.33656978750890987
CPSF4,-0.01713747197727755
CREB1,-0.15778362739909274
CRY1,0.19322949435723263
CRY2,0.029545017063463314
CSNK1D,-0.25013508512201543
CSNK1E,-0.12492822598999556
CSNK2A2,0.14193824417474582
CTC1,0.18564280253072915
CTNNBL1,-0.07401988854638299
CUL1,-0.08344426763559745
CUL3,0.14390958512455324
CUL4A,0.07038262131816714
CUL4B,0.25252237687575935
CUL5,-0.18365828441569776
CWC27,-0.012918938224171637
CXXC1,-0.23843859585595492
CXorf57,-0.17821221051242842
DAXX,0.39860905416814835
DAZAP1,0.0685666284496153
DBF4,-0.04740287077273551
DCLRE1A,-0.20971367623180426
DCLRE1B,0.05324114242324614
DCLRE1C,0.16021526922035523
DCP2,0.17640149263950888
DCPS,0.13981278386835916
DDB1,0.22703570233931586
DDB2,-0.16929611257790989
DDIT4L,-0.25328528018100555
DDX11,-0.19903386038157103
DDX42,-0.0209925023653603
DDX5,0.1322482274117273
DHX35,-0.08131834088301826
DHX36,-0.010079740668915678
DHX9,-0.16950305901973883
DKC1,0.033124276846367394
DLGAP5,-0.021213551197753453
DMAP1,-0.15625596859764415
DMC1,-0.07012910687590458
DNA2,0.11832054774700322
DNAJC8,-0.3162981456704994
DNMT1,0.1276939971847882
DNTT,-0.10980199923620867
DNTTIP1,-0.18993780884571604
DONSON,0.12155772334022402
DOT1L,-0.2837023506011665
DSCC1,0.02877694629730231
DUT,0.006554181001032567
DYRK1A,0.1016032882376247
EID3,0.07247625874728315
ELAVL1,-0.2611362070311245
ELL,-0.06127433198759174
EME1,0.03139803432044564
EME2,-0.02099742836700923
ENDOV,0.21310394633299756
ENY2,0.002601867434519102
EP300,-0.12504396660465933
EPC1,0.11533909557283471
ERCC1,0.06208542054559181
ERCC2,-0.12182967617210182
ERCC3,-0.16652775425223798
ERCC4,0.18181311215951257
ERCC5,0.042272645037426546
ERCC6,-0.14555531755453419
ERCC8,-0.006448033374761881
EREG,-0.2891525555479892
ESCO1,0.221462091432882
ESCO2,-0.1473107983681356
ESR1,1.001641686165813
ETAA1,0.04987969204305685
EXO1,0.42506046612502163
EYA1,-0.13929863801121328
EYA3,-0.13270829473723075
FAM175A,0.08215998970233936
FAM35A,0.133669726169168
FAN1,0.022843994648668736
FANCA,0.10413062368195834
FANCB,-0.26939875862572416
FANCC,-0.004632103341863301
FANCD2,0.09827679528285464
FANCE,-0.4645518810792601
FANCF,0.05821261034133048
FANCG,0.09437839804523335
FANCI,0.09901396444624737
FANCL,0.1174449000669525
FANCM,0.054276236532385363
FBXO18,0.3183863018743724
FBXW7,0.24150768565167544
FEN1,-0.05806957203191799
FIGNL1,-0.10930631381659599
FKBPL,0.0038984738029304022
FLCN,-0.1863458839898292
FOXM1,0.009897869434245525
FOXN3,-0.1545445388756221
FXR1,-0.10429749628436079
FZR1,0.06268076036055116
GADD45A,-0.17434066538583015
GADD45G,-0.1899855066548055
GAR1,-0.16829328880952124
GATAD1,-0.17802972186969793
GATAD2A,0.12325772307693687
GEN1,0.11012943325755961
GMFB,-0.02136351068239913
GPATCH1,0.18058622214187908
GPS1,-0.07591548439638054
GRB2,0.5085368216527164
GTF2F1,-0.09967250870900236
GTF2H1,0.0668682505423876
GTF2H2,0.05973683137095107
GTF2H3,0.022246695351530947
GTF2H4,-0.114262752121999
GTF2H5,-0.24233031484862128
H2AFX,-0.08004386341934537
H2AFZ,0.028244932772784472
HAUS3,-0.11749048252968064
HAUS5,-0.10946334098461159
HELB,0.09862719419384958
HELQ,-0.1529681416979054
HERC2,0.26250624693178654
HES1,-0.05810151732478447
HFM1,0.10161847320631127
HINFP,0.0004033699292242867
HIRA,0.10558558051993396
HIST1H1B,-0.2052643273744875
HIST1H1C,-0.025341965475618327
HLTF,-0.012086504132845767
HMGB1,-0.11725031809155968
HMGB2,-0.03536175012507262
HNRNPU,0.23842479558086987
HRAS,0.12390842627991137
HSF1,-0.10959394650200563
HSP90AB1,-0.22257841669253597
HSPA8,0.16309736384849655
HUS1,-0.37682702500581977
HUS1B,0.12386562627438692
HUWE1,0.2958491680668708
IDH1,-0.4245224401990672
IGF1,-0.18216135341789727
IGHMBP2,-0.039897330399659224
ING4,0.3013372361171678
INO80,-0.03952064891537513
INO80B,-0.05520825003280083
IP6K3,-0.15923278780348218
JMJD6,0.09443901402215472
KANSL2,-0.143415625049085
KANSL3,0.11289142665740075
KAT2A,-0.29873576916318095
KAT5,-0.2458243558843341
KDM1A,-0.04716521414923718
KDM5A,0.333004623221887
KIF18A,-0.18284135577883012
KIF4A,0.07975350153912478
KPNA2,0.21484382813990885
LCMT1,0.3135149513580532
LEO1,0.5887592496848525
LIG1,-0.21073053884132362
LIG3,0.06545264447127412
LIG4,0.018228775210086704
LRRK2,-0.12405676599790909
LRWD1,0.07033222080128422
MAD2L2,0.10127322358833343
MAP2K7,0.048772095332768266
MAPK1,-0.25716645225953255
MAPK14,-0.3615834269517522
MAU2,-0.014012668656382093
MBD4,0.1578501561904162
MCM10,0.36440293353292347
MCM6,-0.1430744029748034
MCM8,-0.17804523878578324
MCM9,0.34348252337851526
MCPH1,0.21582789788445378
MCRS1,-0.2283498125713308
MDC1,0.02365323802544532
MDM2,-0.0851091887567921
MDM4,0.08811507158225469
MED1,0.18954907016624
MEN1,-0.09807537397843079
METAP2,0.04262290801575715
MGMT,0.3513623835025705
MLH1,-0.060231572207741974
MLH3,-0.39819009332444943
MMS19,0.08762555791920566
MMS22L,0.0003037649807333769
MNAT1,0.10762510922330439
MND1,0.17880585168097565
MORF4L1,0.08761556534324626
MPG,0.08869805312562236
MPHOSPH8,-0.036393979881927524
MRE11A,0.07060776768774069
MRPL40,-0.1031512696284648
MSH2,-0.14657786087696412
MSH3,-0.08017869041107187
MSH4,-0.2110063956876004
MSH5,-0.27979421322125764
MSH6,0.3012067198264973
MSL1,0.2682613554965548
MTA2,-0.05910274061546611
MTOR,-0.3005361955617989
MUS81,0.021201822739430883
MUTYH,-0.19151558971818533
MVP,-0.17847414278289034
MYBBP1A,-0.0035572133167301946
N6AMT1,0.14490210218935323
NAA50,0.26444407415711196
NACC2,-0.2724670424809825
NAE1,0.16644215565930234
NAP1L4,0.16403045295012486
NASP,0.12571292443046297
NBN,0.360900979159651
NCAPD2,0.0763106481289257
NCAPD3,-0.03491256977151484
NCAPG,0.22239435049193773
NCAPG2,0.0560795881437907
NDNL2,-0.11261352640129543
NEIL1,-0.13133280030952915
NEIL2,-0.2522891868213548
NEIL3,0.038226374181156354
NEK2,0.27771198909609085
NFATC2IP,0.029353077652700624
NFKBIA,-0.07389914337818035
NFRKB,-0.3348956550057236
NHEJ1,-0.39094006078180504
NHP2,0.28208681526622076
NONO,-0.33977415913003095
NOP10,-0.42654140787415545
NPHP1,-0.32033289105580703
NPLOC4,-0.2105054759462731
NPM1,-0.005883529157525434
NSD1,0.43983323040220995
NSMCE1,-0.16987772465174195
NSMCE2,-0.06263986847277998
NSMCE4A,0.15575246538120702
NTHL1,-0.09211854615173044
NUDT1,-0.09453517414641258
NUDT15,-0.21560967703100417
NUDT18,0.1335663189159566
OBFC1,0.011630115527815642
OGG1,0.17210904960236334
OLA1,0.3278592449018241
ORC2,-0.22115414757945023
ORC6,-0.09862232413414672
OTUB1,-0.3006019101480567
PALB2,-0.05489490828078047
PAPD7,0.13024109552109578
PARG,-0.23457671062684
PARP1,0.08953447961392777
PARP2,0.03275160935351783
PARP3,0.024497537719362153
PARP4,-0.2678091449588509
PARPBP,-0.27367539916924255
PAXIP1,0.2025295032086592
PBRM1,0.2340856321272144
PCBP1,-0.15509899814096792
PCGF1,-0.1794998632795884
PCNA,-0.11425454293545698
PDCD10,0.07799124922950752
PDS5A,-0.21204062733032394
PDS5B,-0.003113166821907881
PER1,0.09658255360342019
PER2,-0.041721810215415385
PER3,-0.14579278230476228
PFN1,0.03531372928719718
PIAS1,-0.2817850449871957
PIAS2,-0.08290743093749887
PIAS3,-0.23675637737897506
PIAS4,0.5833459161058335
PIF1,-0.15733589866187853
PIH1D1,-0.3365503873204731
PINX1,-0.04943361758657508
PITPNM1,-0.5636253752677534
PLK3,0.19991416570424375
PLRG1,-0.006910820467431856
PMS1,-0.08078697561176118
PMS2,0.1589617428208362
PMS2P5,-0.003456450835217649
PNKP,-0.15090798045609374
POLA1,-0.3650221446366167
POLA2,0.1309859714158923
POLB,0.005108507467954554
POLD1,-0.034387316771454304
POLD2,-0.13522676467701394
POLD3,0.014626362724773969
POLD4,-0.058892395635845425
POLE,0.030823867440584136
POLE2,-0.06041458103657076
POLE3,-0.02364229927598065
POLE4,-0.15145079843686846
POLG,-0.0403673045286558
POLG2,-0.28347890247494156
POLH,0.29160917457253543
POLI,0.2643347374874665
POLK,-0.3304621421841493
POLL,0.1260141021343976
POLM,0.17163468130994872
POLN,-0.02349509863870894
POLQ,-0.12426519510629806
POLR2A,-0.06349458558346721
POLR2B,-0.13053764407199603
POLR2C,-0.19662233852968092
POLR2D,0.04228556875801727
POLR2E,-0.05098479372052006
POLR2F,0.043595919437459586
POLR2G,0.27415392892835566
POLR2H,-0.2599325360117711
POLR2I,-0.09567977451344653
POLR2J,-0.11960642265831181
POLR2K,0.0694131471409003
POLR2L,0.23226818528364146
POT1,0.02915848430691625
PPARG,-0.2870704581437162
PPIE,0.1316015056935779
PPIL1,-0.20151309070082904
PPP1CA,-0.3574673202469889
PPP1CC,-0.2882419513940552
PPP2CA,-0.007179313728629432
PPP4C,0.17146570840206257
PPP4R1,-0.664748646771024
PPP4R2,0.08477967094273478
PPP4R4,0.12801208079877974
PPP5C,-0.23678313898143505
PPP6C,0.5143796630541356
PPP6R1,-0.37599016925800227
PPP6R2,-0.23196001193504173
PPP6R3,0.0476539422303483
PRIM1,-0.02046203780361245
PRKDC,-0.15051336855174136
PRPF19,0.22888895965292688
PRPF39,0.20037012660460005
PSMB6,-0.18843877380190183
PSME3,-0.1536245027955427
PTBP1,-0.2888391480851007
PTEN,0.0736071222151278
PUF60,0.2612412205481717
RAD1,-0.2258935691665146
RAD17,0.1541343553359717
RAD18,0.3759588951504021
RAD21,0.855850992547963
RAD23A,-0.1972663700309975
RAD23B,0.14396590567108095
RAD50,0.12354275283606388
RAD51,-0.0251709742026948
RAD51AP1,0.1279580106437
RAD51B,0.30604692049547655
RAD51C,0.026287794484205106
RAD51D,0.06329761526580152
RAD52,-0.18707923389896378
RAD54B,0.16056131559176126
RAD54L,-0.20142488489778831
RAD9A,0.18740268160613466
RAD9B,-0.08260276334103635
RASSF7,-0.44648397605668955
RB1,-0.19511483461294668
RBBP8,0.01799329300917889
RBM38,-0.27562544307796133
RBX1,-0.054429260305143785
RDM1,-0.14937062862248432
RECQL,0.27292359426137214
RECQL4,0.0884242408323336
RECQL5,-0.22657403767112264
REV1,-0.3433957116814758
REV3L,-0.40731864352935165
RFC1,-0.14866232158926124
RFC2,0.33078184204918554
RFC3,-0.041398664430291415
RFC4,0.09480031776934776
RFC5,-0.0032159932018407562
RFWD3,-0.014530705280740613
RIF1,0.04644973042330803
RMI1,-0.3504307394220561
RMI2,-0.333147266952876
RNASEH2A,0.21841751831046138
RNASEH2B,0.2409810672955046
RNASEH2C,-0.1513990450258725
RNF111,-0.2475089125519941
RNF113A,-0.09406848734170697
RNF168,-0.36728304472570034
RNF169,-0.05667470416678735
RNF4,-0.057445221513476974
RNF8,-0.16489466785744553
RNMT,-0.058539164163705776
RPA1,0.15773170939972758
RPA2,-0.009167738857863497
RPA3,0.00888223686284155
RPA4,-0.2818081910835151
RPAIN,0.0021944751860894897
RPRD1B,-0.34671030842607165
RPRD2,-0.2501492037533269
RPS27L,-0.2773192966352968
RPS6KA6,-0.1545427231377488
RREB1,-0.398731745868166
RRM1,0.2195742956459537
RRM2,0.06304555641760162
RRM2B,-0.3385650312582391
RTEL1,-0.19966124065885993
RUNX1,0.8906332998284718
RUVBL1,-0.48103703108229456
RUVBL2,0.03883943981332032
SAMHD1,0.16525726746691458
SART1,-0.3458512650946898
SCNM1,0.1179465378613495
SDCBP,-0.31392827957561337
SETD2,-0.014102795981345681
SETDB1,0.21517955488222454
SETMAR,0.6242280177266669
SETX,-0.09874794035555354
SF3A2,-0.08456477979781993
SFR1,-0.29694459445867555
SGOL1,-0.007973716974534265
SHFM1,-0.19032978341231974
SHPRH,0.1821877505076194
SIN3B,0.08741145956355835
SIRT1,-0.1604175396743469
SIRT6,-0.13618020029857397
SLBP,-0.1836939472670798
SLFN11,0.06288959138874978
SLX1A,0.0
SLX1B,0.0
SLX4,0.03830788669601894
SMAD4,-0.31265092035388836
SMARCA2,0.2617097346689272
SMARCA4,-0.15194713679406763
SMARCA5,-0.0023677062202505667
SMARCAD1,-0.32590275034241767
SMARCAL1,0.10817820995560418
SMARCB1,-0.034673887549037434
SMARCC1,-0.029810865789619067
SMARCC2,-0.12323168201365294
SMARCD1,-0.48433203790942775
SMARCE1,-0.03777456010274826
SMC1A,0.24941278542223763
SMC1B,-0.12969556984450417
SMC2,-0.23512972885162536
SMC3,0.2533123889329199
SMC4,0.21086650978656485
SMC5,0.28534804536870717
SMC6,0.0007738357002654433
SMEK2,0.26258884604757027
SMG6,-0.054319143869112935
SMG7,0.08616547032247998
SMUG1,0.30528292708866955
SNAI2,0.2596676903557276
SNRNP40,0.21112758182707161
SNRPA,-0.006229609137034207
SNRPB2,0.34677149977291544
SOD1,-0.044705951278486325
SOD2,-0.3794556591697028
SOX4,-0.04293826584711472
SOX9,0.5008335266397373
SPO11,-0.0024416204701542266
SRCAP,0.13471070462855123
SRSF11,-0.06890799156413899
SRSF12,-0.18978566565102076
SRSF6,0.035123932171994575
STAG1,-0.019037757379233383
STAG2,-0.4950216252414514
STOML2,-0.015033089160579006
STRA13,0.06451115040869194
SUMO2,-0.09237636739254196
SUMO3,0.18408264283894468
SUMO4,-0.021947295950587177
SUPT3H,-0.12289713960975308
SUPT7L,-0.014864640991705261
SUZ12,-0.34037354317454327
SWI5,-0.19639507890629251
SWSAP1,0.18110309233360303
TADA1,-0.27302103704350195
TADA2B,0.43431155581696523
TADA3,-0.2617829532428869
TAF11,0.13314156413908887
TAF13,-0.13893466522894715
TAF3,-0.2372272006530689
TAOK1,0.15200395127145666
TAOK2,0.030331372138176164
TCEA1,-0.06171976370627098
TCEB1,-0.0779346490158999
TCEB2,-0.007707330143549615
TCEB3,-0.08405196897409356
TDG,0.0068991612611306544
TDP1,0.1788178530950102
TDP2,-0.40513176699988085
TELO2,0.14156524184834207
TEN1,0.0
TEP1,0.07606190877526033
TERF1,-0.394339180396666
TERF2,-0.3063010171299115
TERF2IP,-0.14551942636949602
TERT,-0.15572613210477482
TFDP1,0.03327771592276686
TFPT,0.07221819473891165
TGFBR2,0.21965351270100666
THAP7,-0.007721106833718479
THOC1,0.28127300403099637
THOC6,0.2267536474989532
THRAP3,0.0020377750297664726
TIMELESS,-0.23358895809427918
TINF2,-0.16254454249263361
TIPIN,-0.021069662776666935
TIPRL,0.119782110713905
TLK2,0.07442854962685255
TNKS,-0.30629752251406306
TNP1,0.006880528653779934
TONSL,-0.012854605892790909
TOP1,-0.14227823822434912
TOP2A,-0.10971280241725156
TOP2B,-0.1407932403887184
TOP3A,0.13172806711467538
TOP3B,-0.22501598717727386
TOPBP1,-0.16386149244341505
TP53,-0.0352086726815452
TP53BP1,0.10991948741238938
TP63,-0.2839321450669813
TP73,-0.4476234211880685
TRA2B,0.03400561445592041
TRAIP,-0.19309227729342113
TREX1,-0.3071873841475566
TREX2,0.07592874122775677
TRIM28,-0.015921015169713268
TRIM33,0.18568330624630572
TRIM35,-0.01320548552870649
TRIM37,0.24186496380759867
TRIP12,-0.025156568164121425
TRIP13,0.2343465869409957
TSC1,-0.2082201812324526
TSC2,-0.35698028060087716
TTI1,0.08937779128417501
TTI2,-0.05457206615181024
TTK,-0.028684772866683063
TYMS,-0.29791731920464015
UBA1,0.16828237316861144
UBA2,-0.2579178509421659
UBB,0.06091811171357562
UBC,0.11339149050172266
UBD,-0.008959803349564645
UBE2A,-0.12839905832119444
UBE2B,-0.3614870614035411
UBE2C,0.003003520029783461
UBE2N,-0.23926001514935252
UBE2NL,0.08897785600179937
UBE2T,-0.06942613835312991
UBE2V1,-0.029205764211097388
UBE2V2,-0.03911092137452789
UBR5,0.3057099741554679
UIMC1,0.10477082002748328
UNG,0.44047689629192677
UPF1,-0.16314290560570535
USP1,0.3164457051854671
USP37,0.13286687588062757
USP7,0.1630875548297262
USP9X,-0.028250893766498347
UVRAG,0.28151455378174955
VCP,-0.18914504708375096
WDHD1,-0.22337633533558246
WDR48,-0.06153672876846826
WDR83,-0.07517483300174946
WEE1,-0.02986163710998199
WRAP53,-0.18066980231481167
WRN,-0.002745258660773492
WWOX,0.05578170339666058
XAB2,0.05992598181430993
XPA,-0.16226984623938062
XPC,0.07070319465487236
XRCC1,0.14429547814631222
XRCC2,0.02857173891097695
XRCC3,-0.0813303638582089
XRCC4,-0.28375734718261286
XRCC5,0.049475331119331944
XRCC6,0.1527489502111077
XRCC6BP1,-0.13956153504606972
XRN1,-0.1768807923387022
YBX1,0.02956191441830921
YWHAB,0.13756059672115106
YWHAE,-0.06785620672852054
YWHAG,-0.2660559641447062
ZFYVE19,0.2444853571627613
ZNF207,-0.08452136473414038
ZNF451,-0.13902920318602022
ZNHIT1,0.12519205556594212
ZRANB3,-0.052082546490410435
ZSWIM7,0.14506359699948893
ZWINT,-0.26874547340972577
